state,x,y
Tripura,220, 5
West Bengal,170,22
Assam,219,79
Meghalaya,195,53
Mizoram,250,-9
Manipur,270,25
Nagaland,290,65
Arunachal Pradesh,245,129
Himachal Pradesh,-151,230
Jharkhand,60,10
Odisha,50,-80
Andhra Pradesh,-130,-230
Telangana,-110,-150
Jammu Kashmir,-205,280
Delhi,-145, 139
Maharashtra,-200,-100
Karnataka,-190,-250
Madhya Pradesh,-150,-20
Uttar Pradesh,-60,79
Tamil Nadu,-110,-310
Kerala,-195,-313
Gujarat,-290, -20
Punjab,-190,200
Bihar,80,59
Chattisgarh,-30,-40
Goa,-240,-95
Haryana,-170, 155
Rajasthan,-242, 100
Sikkim,135,109
Uttarakhand,-106,190
